Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2023-12-05,441.43939208984375,456.6000061035156,457.5899963378906,454.8699951171875,455.260009765625,69793500
2023-12-06,439.6605529785156,454.760009765625,458.8399963378906,454.30999755859375,458.80999755859375,69124700
2023-12-07,443.0153503417969,458.2300109863281,458.8999938964844,456.2900085449219,456.9100036621094,66995400
2023-12-08,444.9198913574219,460.20001220703125,460.75,457.2099914550781,457.4599914550781,83194400
2023-12-11,446.6504211425781,461.989990234375,462.1700134277344,459.4700012207031,459.69000244140625,65002200
2023-12-12,448.6904296875,464.1000061035156,464.20001220703125,460.6000061035156,461.6300048828125,68327600
2023-12-13,454.87786865234375,470.5,470.760009765625,464.1199951171875,464.489990234375,93278000
2023-12-14,456.3377685546875,472.010009765625,473.7300109863281,469.25,472.5,119026000
2023-12-15,455.5864562988281,469.3299865722656,470.70001220703125,467.42999267578125,469.489990234375,141553700
2023-12-18,458.14910888671875,471.9700012207031,472.9800109863281,469.8900146484375,470.9800109863281,70375300
2023-12-19,460.93511962890625,474.8399963378906,474.9200134277344,472.45001220703125,472.5299987792969,55761800
2023-12-20,454.5476989746094,468.260009765625,475.8999938964844,467.82000732421875,473.9599914550781,102921000
2023-12-21,458.8577880859375,472.70001220703125,472.9800109863281,468.8399963378906,471.3299865722656,86667500
2023-12-22,459.7798767089844,473.6499938964844,475.3800048828125,471.70001220703125,473.8599853515625,67160400
2023-12-26,461.7213134765625,475.6499938964844,476.5799865722656,473.989990234375,474.07000732421875,55387000
2023-12-27,462.5561828613281,476.510009765625,476.6600036621094,474.8900146484375,475.44000244140625,68000300
2023-12-28,462.7309265136719,476.69000244140625,477.54998779296875,476.260009765625,476.8800048828125,77158100
2023-12-29,461.3913269042969,475.30999755859375,477.0299987792969,473.29998779296875,476.489990234375,122283100
2024-01-02,458.8092346191406,472.6499938964844,473.6700134277344,470.489990234375,472.1600036621094,123623700
2024-01-03,455.062255859375,468.7900085449219,471.19000244140625,468.1700134277344,470.42999267578125,103585900
2024-01-04,453.596435546875,467.2799987792969,470.9599914550781,467.04998779296875,468.29998779296875,84232200
2024-01-05,454.2177734375,467.9200134277344,470.44000244140625,466.42999267578125,467.489990234375,86118900
2024-01-08,460.7021484375,474.6000061035156,474.75,468.29998779296875,468.42999267578125,74879100
